127.0.0.1 - - [10/Jan/2023:17:08:15 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:16 +0900] "GET /portfolio/board/* HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:21 +0900] "GET /portfolio/board/ HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:21 +0900] "GET /portfolio/resources/image/logo.png HTTP/1.1" 200 16614
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:24 +0900] "GET /portfolio/main HTTP/1.1" 200 2646
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:24 +0900] "GET /portfolio/resources/image/02.png HTTP/1.1" 200 6015334
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:26 +0900] "GET /portfolio/reserve HTTP/1.1" 200 4744
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:28 +0900] "GET /portfolio/reserve/phChecked?mno=1 HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:31 +0900] "GET /portfolio/member/loginForm HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:34 +0900] "POST /portfolio/member/login HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:34 +0900] "GET /portfolio/board HTTP/1.1" 200 3939
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:36 +0900] "GET /portfolio/reserve HTTP/1.1" 200 4641
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:38 +0900] "GET /portfolio/reserve/detail?mno=1 HTTP/1.1" 200 5841
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:38 +0900] "GET /portfolio/resources/js/reserveReply/ReserveReplyService.js HTTP/1.1" 200 2753
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:38 +0900] "GET /portfolio/resources/js/reserve/detail.js HTTP/1.1" 200 2336
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:38 +0900] "GET /portfolio/reserveReply/list?mno=1 HTTP/1.1" 200 229
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:47 +0900] "GET /portfolio/member/logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:47 +0900] "GET /portfolio/board HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:49 +0900] "GET /portfolio/board HTTP/1.1" 200 3823
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:50 +0900] "GET /portfolio/board/detail?bno=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:50 +0900] "GET /portfolio/member/loginForm HTTP/1.1" 200 3126
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:51 +0900] "GET /portfolio/reserve HTTP/1.1" 200 4744
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:08:52 +0900] "GET /portfolio/reserve/phChecked?mno=1 HTTP/1.1" 200 3088
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:16:15 +0900] "GET /portfolio/reserve/phChecked?mno=1 HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:16:15 +0900] "GET /portfolio/resources/image/logo.png HTTP/1.1" 200 16614
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:16:15 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:16:20 +0900] "GET /portfolio/reserve/phChecked?mno=1 HTTP/1.1" 200 3087
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:16:20 +0900] "GET /portfolio/resources/image/logo.png HTTP/1.1" 200 16614
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:16:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:16:29 +0900] "GET /portfolio/reserve/phChecked?mno=1 HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:16:29 +0900] "GET /portfolio/resources/image/logo.png HTTP/1.1" 200 16614
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:16:29 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:16:37 +0900] "GET /portfolio/reserve/phChecked?mno=1 HTTP/1.1" 200 3090
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:16:37 +0900] "GET /portfolio/resources/image/logo.png HTTP/1.1" 200 16614
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:16:37 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:17:06 +0900] "GET /portfolio/reserve HTTP/1.1" 200 4744
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:17:06 +0900] "GET /portfolio/resources/image/logo.png HTTP/1.1" 200 16614
0:0:0:0:0:0:0:1 - - [10/Jan/2023:17:17:06 +0900] "GET /favicon.ico HTTP/1.1" 404 818
